Linux 3.10.0-1160.76.1.el7.x86_64 (lt-uxcrowd.ru) 	05/07/2024 	_x86_64_	(6 CPU)

07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s
08:04:47 AM      1.50      0.00      1.50      0.00     36.00
08:04:57 AM      2.10      0.00      2.10      0.00     44.80
08:05:07 AM      1.00      0.00      1.00      0.00     20.80
08:05:17 AM      3.40      0.00      3.40      0.00     52.80
08:05:27 AM      2.10      0.00      2.10      0.00     45.60
08:05:37 AM      0.80      0.00      0.80      0.00     20.00
08:05:47 AM      2.80      0.00      2.80      0.00     43.20
08:05:57 AM      2.40      0.00      2.40      0.00     52.80
08:06:07 AM      1.50      0.00      1.50      0.00     40.80
08:06:17 AM      1.30      0.00      1.30      0.00     28.00
08:06:27 AM      4.00      0.00      4.00      0.00     56.80
08:06:37 AM      1.30      0.00      1.30      0.00     32.00
08:06:47 AM      1.30      0.00      1.30      0.00     31.20
08:06:57 AM      2.00      0.00      2.00      0.00     26.40
08:07:07 AM      1.60      0.00      1.60      0.00     36.80
08:07:17 AM      1.70      0.00      1.70      0.00     37.60
08:07:27 AM      2.10      0.00      2.10      0.00     44.00
08:07:37 AM      1.70      0.00      1.70      0.00     28.00
08:07:47 AM      1.60      0.00      1.60      0.00     39.20
08:07:57 AM      1.90      0.00      1.90      0.00     41.60
08:08:07 AM      3.90      0.00      3.90      0.00     64.00
08:08:17 AM      3.60      0.00      3.60      0.00     76.00
08:08:27 AM      2.30      0.00      2.30      0.00     41.60
08:08:37 AM      1.20      0.00      1.20      0.00     28.80
08:08:47 AM      3.50      0.00      3.50      0.00     58.40
08:08:57 AM      1.20      0.00      1.20      0.00     21.60
08:09:07 AM      2.00      0.00      2.00      0.00     40.80
08:09:17 AM      3.10      0.00      3.10      0.00     50.40
08:09:27 AM      2.50      0.00      2.50      0.00     48.80
08:09:37 AM      0.80      0.00      0.80      0.00     20.80
08:09:47 AM      1.50      0.00      1.50      0.00     32.00
08:09:57 AM      3.20      0.00      3.20      0.00     52.00
08:10:07 AM      2.30      0.00      2.30      0.00     60.00
08:10:17 AM      1.40      0.00      1.40      0.00     28.00
08:10:27 AM      4.30      0.00      4.30      0.00     62.40
08:10:37 AM      1.80      0.00      1.80      0.00     36.00
08:10:47 AM      1.30      0.00      1.30      0.00     28.80
08:10:57 AM      1.60      0.00      1.60      0.00     37.60
08:11:07 AM      3.80      0.00      3.80      0.00     58.40
08:11:17 AM      1.60      0.00      1.60      0.00     36.80
08:11:27 AM      2.20      0.00      2.20      0.00     45.60
08:11:37 AM      2.10      0.00      2.10      0.00     31.20
08:11:47 AM      1.70      0.00      1.70      0.00     36.00
08:11:57 AM      1.60      0.00      1.60      0.00     36.80
08:12:07 AM      2.10      0.00      2.10      0.00     48.80
08:12:17 AM      2.00      0.00      2.00      0.00     32.80
08:12:27 AM      2.20      0.00      2.20      0.00     43.20
08:12:37 AM      1.20      0.00      1.20      0.00     28.00
08:12:47 AM      2.30      0.00      2.30      0.00     38.40
08:12:57 AM      1.70      0.00      1.70      0.00     40.00
08:13:07 AM      1.70      0.00      1.70      0.00     39.20
08:13:17 AM      3.50      0.00      3.50      0.00     79.20
08:13:27 AM      4.50      0.00      4.50      0.00     64.00
08:13:37 AM      1.00      0.00      1.00      0.00     25.60
08:13:47 AM      1.30      0.00      1.30      0.00     26.40
08:13:57 AM      2.50      0.00      2.50      0.00     45.60
08:14:07 AM      2.40      0.00      2.40      0.00     57.60
08:14:17 AM      1.60      0.00      1.60      0.00     36.80
08:14:27 AM      2.00      0.00      2.00      0.00     28.80
08:14:37 AM      2.90      0.00      2.90      0.00     44.00
08:14:47 AM      1.50      0.00      1.50      0.00     37.60
08:14:57 AM      1.50      0.00      1.50      0.00     32.00
08:15:07 AM      2.80      0.00      2.80      0.00     43.20
08:15:17 AM      1.70      0.00      1.70      0.00     38.40
08:15:27 AM      2.10      0.00      2.10      0.00     42.40
08:15:37 AM      0.60      0.00      0.60      0.00     17.60
08:15:47 AM      1.90      0.00      1.90      0.00     37.60
08:15:57 AM      1.90      0.00      1.90      0.00     40.80
08:16:07 AM      2.30      0.00      2.30      0.00     58.40
08:16:17 AM      2.80      0.00      2.80      0.00     40.80
08:16:27 AM      2.30      0.00      2.30      0.00     34.40
08:16:37 AM      1.30      0.00      1.30      0.00     28.80
08:16:47 AM      1.50      0.00      1.50      0.00     38.40
08:16:57 AM      2.70      0.00      2.70      0.00     34.40
08:17:07 AM      1.80      0.00      1.80      0.00     44.80
08:17:17 AM      1.80      0.00      1.80      0.00     36.00
08:17:27 AM      3.50      0.00      3.50      0.00     57.60
08:17:37 AM      0.90      0.00      0.90      0.00     20.80
08:17:47 AM      1.60      0.00      1.60      0.00     36.00
08:17:57 AM      2.00      0.00      2.00      0.00     40.80
08:18:07 AM      3.70      0.00      3.70      0.00     68.00
08:18:17 AM      3.30      0.00      3.30      0.00     72.80
08:18:27 AM      2.20      0.00      2.20      0.00     42.40
08:18:37 AM      3.40      0.00      3.40      0.00     47.20
08:18:47 AM      1.70      0.00      1.70      0.00     39.20
08:18:57 AM      1.20      0.00      1.20      0.00     20.80
08:19:07 AM      1.80      0.00      1.80      0.00     46.40
08:19:17 AM      2.70      0.00      2.70      0.00     44.00
08:19:27 AM      2.60      0.00      2.60      0.00     58.34
08:19:37 AM      0.90      0.00      0.90      0.00     23.20
08:19:47 AM      2.90      0.00      2.90      0.00     40.80
08:19:57 AM      2.00      0.00      2.00      0.00     39.20
08:20:07 AM      2.30      0.00      2.30      0.00     70.40
08:20:17 AM      1.20      0.00      1.20      0.00     26.40
08:20:27 AM      4.70      0.00      4.70      0.00     61.60
08:20:37 AM      1.90      0.00      1.90      0.00     38.40
08:20:47 AM      1.50      0.00      1.50      0.00     34.40
08:20:57 AM      2.30      0.00      2.30      0.00     28.80
08:21:07 AM      1.90      0.00      1.90      0.00     49.60
08:21:17 AM      1.80      0.00      1.80      0.00     35.20
08:21:27 AM      2.00      0.00      2.00      0.00     47.20
08:21:37 AM      1.80      0.00      1.80      0.00     28.00
08:21:47 AM      1.50      0.00      1.50      0.00     29.60
08:21:57 AM      1.90      0.00      1.90      0.00     41.60
08:22:07 AM      3.60      0.00      3.60      0.00     60.80
08:22:17 AM      1.50      0.00      1.50      0.00     34.40
08:22:27 AM      1.80      0.00      1.80      0.00     34.40
08:22:37 AM      1.60      0.00      1.60      0.00     31.20
08:22:47 AM      1.60      0.00      1.60      0.00     32.00
08:22:57 AM      1.70      0.00      1.70      0.00     36.80
08:23:07 AM      1.60      0.00      1.60      0.00     34.40
08:23:17 AM      5.20      0.00      5.20      0.00     94.40
08:23:27 AM      1.70      0.00      1.70      0.00     44.00
08:23:37 AM      1.40      0.00      1.40      0.00     30.40
08:23:47 AM      5.30      0.00      5.30      0.00     67.20
08:23:57 AM      5.40      0.00      5.40      0.00     76.80
08:24:07 AM      1.90      0.00      1.90      0.00     52.00
08:24:17 AM      1.20      0.00      1.20      0.00     27.20
08:24:27 AM      1.30      0.00      1.30      0.00     31.20
08:24:37 AM      3.10      0.00      3.10      0.00     47.20
08:24:47 AM      3.30      0.00      3.30      0.00     49.60
08:24:57 AM      1.30      0.00      1.30      0.00     31.20
08:25:07 AM      1.40      0.00      1.40      0.00     33.60
08:25:17 AM      1.20      0.00      1.20      0.00     26.40
08:25:27 AM      3.60      0.00      3.60      0.00     60.80
08:25:37 AM      1.30      0.00      1.30      0.00     32.00
08:25:47 AM      1.20      0.00      1.20      0.00     28.80
08:25:57 AM      2.00      0.00      2.00      0.00     36.80
08:26:07 AM      2.90      0.00      2.90      0.00     59.20
08:26:17 AM      1.10      0.00      1.10      0.00     25.60
08:26:27 AM      1.40      0.00      1.40      0.00     32.80
08:26:37 AM      1.90      0.00      1.90      0.00     30.40
08:26:47 AM      2.20      0.00      2.20      0.00     46.40
08:26:57 AM      3.10      0.00      3.10      0.00     52.80
08:27:07 AM      4.80      0.00      4.80      0.00     67.20
08:27:17 AM      3.30      0.00      3.30      0.00     52.80
08:27:27 AM      1.90      0.70      1.20      5.60     20.80
08:27:37 AM      1.30      0.00      1.30      0.00     36.00
08:27:47 AM      3.40      0.00      3.40      0.00     53.60
08:27:57 AM      2.00      0.00      2.00      0.00     42.40
08:28:07 AM      1.90      0.00      1.90      0.00     44.80
08:28:17 AM      2.90      0.00      2.90      0.00     65.60
08:28:27 AM      4.00      0.00      4.00      0.00     64.00
08:28:37 AM      1.70      0.00      1.70      0.00     37.60
08:28:47 AM      1.20      0.00      1.20      0.00     28.00
08:28:57 AM      1.90      0.00      1.90      0.00     36.00
08:29:07 AM      2.10      0.00      2.10      0.00     41.60
08:29:17 AM      1.70      0.00      1.70      0.00     39.20
08:29:27 AM      3.10      0.00      3.10      0.00     48.00
08:29:37 AM      1.20      0.00      1.20      0.00     25.60
08:29:47 AM      2.00      0.00      2.00      0.00     42.40
08:29:57 AM      1.80      0.00      1.80      0.00     39.20
08:30:07 AM      3.60      0.00      3.60      0.00     69.60
08:30:17 AM      1.10      0.00      1.10      0.00     25.60
08:30:27 AM      2.20      0.00      2.20      0.00     43.20
08:30:37 AM      4.50      0.00      4.50      0.00     71.20
08:30:47 AM      1.50      0.00      1.50      0.00     28.80
08:30:57 AM      1.40      0.00      1.40      0.00     34.40
08:31:07 AM      1.50      0.00      1.50      0.00     34.40
08:31:17 AM      3.50      0.00      3.50      0.00     52.80
08:31:27 AM      1.50      0.00      1.50      0.00     26.40
08:31:37 AM      1.30      0.00      1.30      0.00     30.40
08:31:47 AM      1.40      0.00      1.40      0.00     32.00
08:31:57 AM      3.40      0.00      3.40      0.00     45.60
08:32:07 AM      1.90      0.00      1.90      0.00     55.20
08:32:17 AM      1.30      0.00      1.30      0.00     31.20
08:32:27 AM      3.00      0.00      3.00      0.00     46.40
08:32:37 AM      2.30      0.00      2.30      0.00     41.60
08:32:47 AM      1.20      0.00      1.20      0.00     29.60
08:32:57 AM      1.30      0.00      1.30      0.00     30.40
08:33:07 AM      2.90      0.00      2.90      0.00     45.60
08:33:17 AM      4.20      0.00      4.20      0.00     94.40
08:33:27 AM      1.30      0.00      1.30      0.00     31.20
08:33:37 AM      3.40      0.00      3.40      0.00     48.80
08:33:47 AM      1.30      0.00      1.30      0.00     28.80
08:33:57 AM      2.60      0.00      2.60      0.00     51.20
08:34:07 AM      1.90      0.00      1.90      0.00     59.20
08:34:17 AM      2.40      0.00      2.40      0.00     41.60
08:34:27 AM      1.40      0.00      1.40      0.00     31.20
08:34:37 AM      2.20      0.00      2.20      0.00     43.20
08:34:47 AM      1.80      0.00      1.80      0.00     33.60
08:34:57 AM      1.50      0.00      1.50      0.00     32.80
08:35:07 AM      1.20      0.00      1.20      0.00     28.00
08:35:17 AM      2.40      0.00      2.40      0.00     51.20
08:35:27 AM      3.10      0.00      3.10      0.00     49.55
08:35:37 AM      1.40      0.00      1.40      0.00     30.40
08:35:47 AM      1.00      0.00      1.00      0.00     24.80
08:35:57 AM      2.80      0.00      2.80      0.00     49.60
08:36:07 AM      1.90      0.00      1.90      0.00     44.80
08:36:17 AM      1.40      0.00      1.40      0.00     32.00
08:36:27 AM      1.80      0.00      1.80      0.00     24.80
08:36:37 AM      2.40      0.00      2.40      0.00     54.40
08:36:47 AM      1.10      0.00      1.10      0.00     28.00
08:36:57 AM      1.40      0.00      1.40      0.00     32.00
08:37:07 AM      2.60      0.00      2.60      0.00     40.00
08:37:17 AM      2.70      0.00      2.70      0.00     52.80
08:37:27 AM      1.30      0.00      1.30      0.00     36.00
Average:         2.16      0.00      2.16      0.02     41.59
